County,"Registered Voters","Active Voters","Inactive Voters","Total Ballots Cast"
"Precinct 6284003462","1,281","1,135",146,850
"Precinct 6284003463","1,538","1,384",154,"1,008"
"Precinct 6284003464","1,029",879,150,609
"Precinct 6284003472","1,567","1,163",404,661
"Precinct 6284003473","1,899","1,537",362,985
"Precinct 6284103301",708,634,74,426
"Precinct 6284103420","1,919","1,666",253,"1,147"
"Precinct 6284103421",566,523,43,427
"Precinct 6284103422",741,651,90,476
"Precinct 6284103427","1,609","1,408",201,"1,095"
"Precinct 6284103428","1,174","1,002",172,737
"Precinct 6284103429","1,189",886,303,589
"Precinct 6284103430","1,261","1,022",239,740
"Precinct 6284103431",647,587,60,435
"Precinct 6284103432","1,396","1,132",264,761
"Precinct 6284103433","1,100",910,190,625
"Precinct 6284103437","1,508","1,349",159,938
"Precinct 6284103438","1,135",961,174,715
"Precinct 6284103439","1,024",930,94,695
"Precinct 6284103440",886,815,71,746
"Precinct 6284103441",876,833,43,758
"Precinct 6284103444",673,602,71,445
"Precinct 6284103445",744,640,104,459
"Precinct 6284103465",704,637,67,456
"Precinct 6284103466","1,002",878,124,627
"Precinct 6284103467",980,862,118,624
"Precinct 6284103468",951,832,119,584
"Precinct 6284103469",913,723,190,432
"Precinct 6284103470","1,383","1,164",219,690
"Precinct 6284103471","1,136","1,007",129,665
"Precinct 6284203434","1,276","1,060",216,737
"Precinct 6284203435","1,581","1,308",273,831
"Precinct 6284203436","1,704","1,344",360,803
"Precinct 6285603352","1,612","1,337",275,899
"Precinct 6285603373","1,402","1,304",98,"1,012"
"Precinct 6285603378","1,439","1,288",151,957
"Precinct 6293603345",465,439,26,337
"Precinct 6293603346","1,471","1,309",162,980
"Precinct 6293603347",905,782,123,537
"Precinct 6293603360",550,443,107,199
"Precinct 6293603374","1,905","1,658",247,"1,177"
"Precinct 6293603381","1,520","1,408",112,"1,093"
"Precinct 6293603474",818,698,120,425
"Precinct 6293603537","1,293","1,097",196,682
"Precinct 6293603538","1,259","1,099",160,758
"Precinct 6293603539","1,318","1,046",272,686
"Precinct 6293603540",753,677,76,446
"Precinct 6293603541",808,700,108,464
"Precinct 6293603542","1,102",686,416,315
"Precinct 6293603543","1,037",898,139,641
"Precinct 6293603544","1,523","1,075",448,577
"Precinct 6293603545",523,377,146,202
"Precinct 6293603546","1,186","1,022",164,679
"Precinct 6293603547","1,106","1,002",104,648
"Precinct 6293603548",667,443,224,203
"Precinct 6293603549",665,532,133,273
"Precinct 6293603550",98,86,12,52
"Precinct 6293603551","1,048",732,316,400
"Precinct 6293603552","1,190",909,281,510
"Precinct 6293603553","1,551","1,273",278,797
"Precinct 6293603554","1,198","1,037",161,737
"Precinct 6293603555","1,054",887,167,565
"Precinct 6293603556","1,350","1,196",154,821
"Precinct 6293603557","1,888","1,572",316,"1,086"
"Precinct 6293603558","1,068",913,155,630
"Precinct 6293603559",980,874,106,576
"Precinct 6293603560",542,451,91,292
"Precinct 6294203503","2,089","1,651",438,957
"Precinct 6294203504","1,081",939,142,551
"Precinct 6294203505","1,221",888,333,492
"Precinct 6294203506","1,879","1,401",478,666
"Precinct 6294203507",979,842,137,508
"Precinct 6294203508",794,692,102,395
"Precinct 6294203509",705,637,68,435
"Precinct 6294203510",738,677,61,534
"Precinct 6294203511","1,354",945,409,518
"Precinct 6294203512","1,253",985,268,595
"Precinct 6294203513","1,190",909,281,581
"Precinct 6294203514",981,689,292,408
"Precinct 6294203515","1,024",937,87,659
"Precinct 6294203516",818,696,122,469
"Precinct 6294203517",835,712,123,469
"Precinct 6294203518",839,686,153,434
"Precinct 6294203519","1,042",812,230,473
"Precinct 6294203520","1,039",914,125,629
